,method,observation_sequence,n_states,time,log_prob
32,bw_only,0,2,0.0003334999782964587,-8.57043770593564
33,ga_and_bw,0,2,0.22160649998113513,-8.570437705935081
34,random_only,0,2,6.660004146397114e-05,-23.565328576730323
35,ga_only,0,2,0.22073749999981374,-8.774438659247553
36,bw_only,0,2,0.00029960006941109896,-8.31776616671944
37,ga_and_bw,0,2,0.22097520006354898,-8.570437705935056
38,random_only,0,2,6.200000643730164e-05,-15.546162738932578
39,ga_only,0,2,0.22162359999492764,-8.896613724108887
40,bw_only,0,2,0.00031779997516423464,-8.570437705935126
41,ga_and_bw,0,2,0.22629220003727823,-8.570437705935056
42,random_only,0,2,6.280001252889633e-05,-15.160750333323415
43,ga_only,0,2,0.2184997999574989,-8.88104707070837
44,bw_only,0,2,0.0003349999897181988,-8.57043770637903
45,ga_and_bw,0,2,0.22487279993947595,-8.570437705935069
46,random_only,0,2,6.160000339150429e-05,-17.199542246789495
47,ga_only,0,2,0.21831009991001338,-8.714462066262488
48,bw_only,0,2,0.0003010000800713897,-8.317766166719345
49,ga_and_bw,0,2,0.2211336001055315,-9.181643628592534
50,random_only,0,2,6.210000719875097e-05,-12.149457350136906
51,ga_only,0,2,0.2194209999870509,-8.69221338840741
52,bw_only,0,2,0.00031839997973293066,-8.317766166719345
53,ga_and_bw,0,2,0.2185340999858454,-9.180833540791197
54,random_only,0,2,6.170000415295362e-05,-12.814262664361477
55,ga_only,0,2,0.21804549999069422,-8.853503160125529
56,bw_only,0,2,0.0002986000617966056,-9.180019733290278
57,ga_and_bw,0,2,0.21865089994389564,-8.570437705935067
58,random_only,0,2,0.0001903999364003539,-17.110003595679256
59,ga_only,0,2,0.21809640002902597,-9.305494787323147
